食品群,食品番号,索引番号,食品名,廃 棄 率,,,一般成分,一般成分,一般成分,一般成分,一般成分,,,,,一般成分,一般成分,,,,一般成分,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,"ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン　
(ビタミンA)","ビタミン
(ビタミンA)",ビタミン,"ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)",ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,,,,,,,,,,,,備考
,,,,,エネルギー（kcal）,エネルギー（kJ),水   分,たんぱく質,アミノ酸組成によるたんぱく質,脂   質,トリアシルグリセロール当量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,コレステロール,炭水化物,利用可能炭水化物（単糖当量）,水溶性食物繊維,不溶性食物繊維,食物繊維総量,灰   分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,α-カロテン,β-カロテン,β-クリプトキサンチン,β-カロテン当量,レチノール活性当量,ビタミンD,α-トコフェロール,β-トコフェロール,γ-トコフェロール,δ-トコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,食塩相当量,アルコール,硝酸イオン,テオブロミン,カフェイン,タンニン,ポリフェノール,酢酸,調理油,有機酸,重量変化率,
,,,Tagnames,REFUSE,"ENERC_
KCAL",ENERC,WATER,－,PROTCAA,－,FATNLEA,FASAT,FAMS,FAPU,CHOLE,－,CHOAVLM,FIBSOL,FIBINS, FIBTG,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA ,CARTB ,CRYPXB,CARTBEQ,VITA_RAE,VITD,TOCPHA,TOCPHB ,TOCPHG,TOCPHD,VITK,THIAHCL ,RIBF,NIA,VITB6A,VITB12,FOL,PANTAC,BIOT,VITC,NACL_EQ,ALC,NITRA ,THEBRN,CAFFN ,TAN,POLYPHENT,ACEAC,－,OA,－,
,,,単位,%,kcal/100 g,kJ/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 ｇ,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,mg/100 g,µg/100 g,mg/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,%,
10,10100,1137,かれい,50,95,397,77.8,19.6,17.4,1.3,0.9,0.25,0.26,0.32,71,0.1,-,(0),(0),(0),1.2,110,330,43,28,200,0.2,0.8,0.03,0.01,21,110,0,0,5,0,0,(0),(0),5,13.0,1.5,0,0,0,(0),0.03,0.35,2.5,0.15,3.1,4,0.66,23.9,1,0.3,-,-,-,-,-,-,-,-,-,-,廃棄部位： 頭部、内臓、骨、ひれ等（五枚下ろし）　 
10,10100,1137,かれい（切り身）,50,95,397,77.8,19.6,17.4,1.3,0.9,0.25,0.26,0.32,71,0.1,-,(0),(0),(0),1.2,110,330,43,28,200,0.2,0.8,0.03,0.01,21,110,0,0,5,0,0,(0),(0),5,13.0,1.5,0,0,0,(0),0.03,0.35,2.5,0.15,3.1,4,0.66,23.9,1,0.3,-,-,-,-,-,-,-,-,-,-,廃棄部位： 頭部、内臓、骨、ひれ等（五枚下ろし）　 
10,10134,1174,さけ,0,133,556,72.3,22.3,18.3,4.1,3.4,0.66,1.64,0.91,59,0.1,-,(0),(0),(0),1.2,66,350,14,28,240,0.5,0.5,0.07,0.01,5,31,1,0,11,0,0,(0),(0),11,32.0,1.2,0,Tr,0,(0),0.15,0.21,6.7,0.64,5.9,20,1.27,9.0,1,0.2,-,-,-,-,-,-,-,-,-,-,"別名： さけ（標準和名）、あきさけ、あきあじ　 "
10,10134,1174,サーモン･筒切り、4枚,0,133,556,72.3,22.3,18.3,4.1,3.4,0.66,1.64,0.91,59,0.1,-,(0),(0),(0),1.2,66,350,14,28,240,0.5,0.5,0.07,0.01,5,31,1,0,11,0,0,(0),(0),11,32.0,1.2,0,Tr,0,(0),0.15,0.21,6.7,0.64,5.9,20,1.27,9.0,1,0.2,-,-,-,-,-,-,-,-,-,-,"別名： さけ（標準和名）、あきさけ、あきあじ　 "
10,10134,1174,生ざけ,0,133,556,72.3,22.3,18.3,4.1,3.4,0.66,1.64,0.91,59,0.1,-,(0),(0),(0),1.2,66,350,14,28,240,0.5,0.5,0.07,0.01,5,31,1,0,11,0,0,(0),(0),11,32.0,1.2,0,Tr,0,(0),0.15,0.21,6.7,0.64,5.9,20,1.27,9.0,1,0.2,-,-,-,-,-,-,-,-,-,-,"別名： さけ（標準和名）、あきさけ、あきあじ　 "
10,10134,1174,生ざけ（切り身）,0,133,556,72.3,22.3,18.3,4.1,3.4,0.66,1.64,0.91,59,0.1,-,(0),(0),(0),1.2,66,350,14,28,240,0.5,0.5,0.07,0.01,5,31,1,0,11,0,0,(0),(0),11,32.0,1.2,0,Tr,0,(0),0.15,0.21,6.7,0.64,5.9,20,1.27,9.0,1,0.2,-,-,-,-,-,-,-,-,-,-,"別名： さけ（標準和名）、あきさけ、あきあじ　 "
10,10154,1195,さば,50,247,1032,62.1,20.6,17.4,16.8,12.8,4.57,5.03,2.66,61,0.3,-,(0),(0),(0),1.1,110,330,6,30,220,1.2,1.1,0.12,0.01,21,70,2,0,37,0,1,0,1,37,5.1,1.3,0,0,0,2,0.21,0.31,11.7,0.59,12.9,11,0.66,4.9,1,0.3,-,-,-,-,-,-,-,-,-,-,"別名： さば　 "
10,10154,1195,白身魚,50,247,1032,62.1,20.6,17.4,16.8,12.8,4.57,5.03,2.66,61,0.3,-,(0),(0),(0),1.1,110,330,6,30,220,1.2,1.1,0.12,0.01,21,70,2,0,37,0,1,0,1,37,5.1,1.3,0,0,0,2,0.21,0.31,11.7,0.59,12.9,11,0.66,4.9,1,0.3,-,-,-,-,-,-,-,-,-,-,"別名： さば　 "
10,10154,1195,白身魚（切り身）,50,247,1032,62.1,20.6,17.4,16.8,12.8,4.57,5.03,2.66,61,0.3,-,(0),(0),(0),1.1,110,330,6,30,220,1.2,1.1,0.12,0.01,21,70,2,0,37,0,1,0,1,37,5.1,1.3,0,0,0,2,0.21,0.31,11.7,0.59,12.9,11,0.66,4.9,1,0.3,-,-,-,-,-,-,-,-,-,-,"別名： さば　 "
10,10154,1195,さば（半身）,50,247,1032,62.1,20.6,17.4,16.8,12.8,4.57,5.03,2.66,61,0.3,-,(0),(0),(0),1.1,110,330,6,30,220,1.2,1.1,0.12,0.01,21,70,2,0,37,0,1,0,1,37,5.1,1.3,0,0,0,2,0.21,0.31,11.7,0.59,12.9,11,0.66,4.9,1,0.3,-,-,-,-,-,-,-,-,-,-,"別名： さば　 "
