食品群,食品番号,索引番号,食品名,廃 棄 率,,,一般成分,一般成分,一般成分,一般成分,一般成分,,,,,一般成分,一般成分,,,,一般成分,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,"ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン　
(ビタミンA)","ビタミン
(ビタミンA)",ビタミン,"ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)",ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,,,,,,,,,,,,備考
,,,,,エネルギー（kcal）,エネルギー（kJ),水   分,たんぱく質,アミノ酸組成によるたんぱく質,脂   質,トリアシルグリセロール当量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,コレステロール,炭水化物,利用可能炭水化物（単糖当量）,水溶性食物繊維,不溶性食物繊維,食物繊維総量,灰   分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,α-カロテン,β-カロテン,β-クリプトキサンチン,β-カロテン当量,レチノール活性当量,ビタミンD,α-トコフェロール,β-トコフェロール,γ-トコフェロール,δ-トコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,食塩相当量,アルコール,硝酸イオン,テオブロミン,カフェイン,タンニン,ポリフェノール,酢酸,調理油,有機酸,重量変化率,
,,,Tagnames,REFUSE,"ENERC_
KCAL",ENERC,WATER,－,PROTCAA,－,FATNLEA,FASAT,FAMS,FAPU,CHOLE,－,CHOAVLM,FIBSOL,FIBINS, FIBTG,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA ,CARTB ,CRYPXB,CARTBEQ,VITA_RAE,VITD,TOCPHA,TOCPHB ,TOCPHG,TOCPHD,VITK,THIAHCL ,RIBF,NIA,VITB6A,VITB12,FOL,PANTAC,BIOT,VITC,NACL_EQ,ALC,NITRA ,THEBRN,CAFFN ,TAN,POLYPHENT,ACEAC,－,OA,－,
,,,単位,%,kcal/100 g,kJ/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 ｇ,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,mg/100 g,µg/100 g,mg/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,%,
06,06084,476,ごぼう,10,65,272,81.7,1.8,1.1,0.1,(0.1),(0.02),(0.02),(0.04),(0),15.4,1.1,2.3,3.4,5.7,0.9,18,320,46,54,62,0.7,0.8,0.21,0.18,2,1,1,1,(0),0,1,0,1,Tr,(0),0.6,0,0,0,Tr,0.05,0.04,0.4,0.10,(0),68,0.23,1.3,3,0,-,0.1,-,-,-,-,-,-,-,-,廃棄部位： 皮、葉柄基部及び先端　 
06,06086,478,小松菜,15,14,59,94.1,1.5,1.3,0.2,0.1,0.02,Tr,0.08,(0),2.4,0.3,0.4,1.5,1.9,1.3,15,500,170,12,45,2.8,0.2,0.06,0.13,2,1,2,10,(0),0,3100,28,3100,260,(0),0.9,0,0.1,0,210,0.09,0.13,1.0,0.12,(0),110,0.32,2.9,39,0,-,0.5,-,-,-,-,-,-,-,-,廃棄部位： 株元　 
06,06010,400,いんげんまめ　さやいんげん　若ざや　生　　,3,23,96,92.2,1.8,1.2,0.1,(0.1),(0.02),(Tr),(0.05),Tr,5.1,2.2,0.3,2.1,2.4,0.8,1,260,48,23,41,0.7,0.3,0.06,0.33,0,Tr,1,34,(0),140,520,0,590,49,(0),0.2,0,0.4,0,60,0.06,0.11,0.6,0.07,(0),50,0.17,3.9,8,0,-,Tr,-,-,-,-,-,-,0.3,-,"別名： さいとう（菜豆）、さんどまめ　 "
06,06099,491,春菊,1,22,92,91.8,2.3,1.8,0.3,0.1,0.02,0.01,0.10,(0),3.9,0.4,0.8,2.4,3.2,1.4,73,460,120,26,44,1.7,0.2,0.10,0.40,5,2,2,12,(0),0,4500,0,4500,380,(0),1.7,0,0.1,0,250,0.10,0.16,0.8,0.13,(0),190,0.23,3.5,19,0.2,-,0.3,-,-,-,-,-,-,-,-,"別名： きくな　 "
06,06103,495,しょうが,20,30,126,91.4,0.9,0.7,0.3,(0.2),(0.08),(0.06),(0.06),(0),6.6,4.2,0.2,1.9,2.1,0.7,6,270,12,27,25,0.5,0.1,0.06,5.01,0,1,1,6,(0),1,4,0,5,Tr,(0),0.1,Tr,0.8,0,0,0.03,0.02,0.6,0.13,(0),8,0.21,0.7,2,0,-,0.1,-,-,-,-,-,-,0.1,-,"ひねしょうが　 "
06,06116,508,ズッキーニ,4,14,59,94.9,1.3,(0.9),0.1,(0.1),(0.03),(Tr),(0.03),(0),2.8,(1.5),0.2,1.1,1.3,0.8,1,320,24,25,37,0.5,0.4,0.07,0.15,Tr,Tr,1,6,(0),0,310,10,320,27,(0),0.4,0,0.4,0,35,0.05,0.05,0.4,0.09,(0),36,0.22,2.7,20,0,-,0.1,-,-,-,-,-,-,-,-,"別名： つるなしかぼちゃ　 "
06,06119,511,セロリ,35,15,62,94.7,0.4,0.4,0.1,0.1,0.02,Tr,0.03,(0),3.6,1.4,0.3,1.2,1.5,1.0,28,410,39,9,39,0.2,0.2,0.03,0.11,1,0,0,2,(0),0,44,0,44,4,(0),0.2,0,0,0,10,0.03,0.03,Tr,0.08,(0),29,0.26,1.2,7,0.1,-,0.2,-,-,-,-,-,-,Tr,-,"別名： セロリー、セルリー、オランダみつば　 "
06,06128,520,貝割れ菜,0,21,88,93.4,2.1,(1.8),0.5,(0.2),(0.05),(0.02),(0.15),(0),3.3,-,0.3,1.6,1.9,0.6,5,99,54,33,61,0.5,0.3,0.03,0.35,12,0,0,6,(0),0,1900,0,1900,160,(0),2.1,0.1,0.5,0,200,0.08,0.13,1.3,0.23,(0),96,0.29,5.6,47,0,-,0.1,-,-,-,-,-,-,-,-,"別名： かいわれ　 "
06,06134,526,大根,15,18,75,94.6,0.4,0.3,0.1,(Tr),(0.01),(Tr),(0.02),0,4.1,2.9,0.5,0.8,1.3,0.6,17,230,23,10,17,0.2,0.1,0.02,0.04,3,1,0,2,(0),0,0,0,0,(0),(0),0,0,0,0,Tr,0.02,0.01,0.2,0.05,(0),33,0.11,0.3,11,0,-,0.2,-,-,-,-,-,-,-,-,廃棄部位： 根端、葉柄基部及び皮　 
06,06151,545,たけのこ（水煮）,0,23,96,92.8,2.7,(1.9),0.2,(0.1),(0.04),(Tr),(0.09),(0),4.0,(2.3),0.5,1.8,2.3,0.3,3,77,19,4,38,0.3,0.4,0.04,0.68,0,0,1,0,(0),0,0,0,0,(0),(0),1.0,0,0.8,0,1,0.01,0.04,0.1,0.02,(0),36,0.10,0.8,0,0,-,0,-,-,-,-,-,-,-,-,液汁を除いたもの　 
