食品群,食品番号,索引番号,食品名,廃 棄 率,,,一般成分,一般成分,一般成分,一般成分,一般成分,,,,,一般成分,一般成分,,,,一般成分,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,"ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン　
(ビタミンA)","ビタミン
(ビタミンA)",ビタミン,"ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)",ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,,,,,,,,,,,,備考
,,,,,エネルギー（kcal）,エネルギー（kJ),水   分,たんぱく質,アミノ酸組成によるたんぱく質,脂   質,トリアシルグリセロール当量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,コレステロール,炭水化物,利用可能炭水化物（単糖当量）,水溶性食物繊維,不溶性食物繊維,食物繊維総量,灰   分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,α-カロテン,β-カロテン,β-クリプトキサンチン,β-カロテン当量,レチノール活性当量,ビタミンD,α-トコフェロール,β-トコフェロール,γ-トコフェロール,δ-トコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,食塩相当量,アルコール,硝酸イオン,テオブロミン,カフェイン,タンニン,ポリフェノール,酢酸,調理油,有機酸,重量変化率,
,,,Tagnames,REFUSE,"ENERC_
KCAL",ENERC,WATER,－,PROTCAA,－,FATNLEA,FASAT,FAMS,FAPU,CHOLE,－,CHOAVLM,FIBSOL,FIBINS, FIBTG,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA ,CARTB ,CRYPXB,CARTBEQ,VITA_RAE,VITD,TOCPHA,TOCPHB ,TOCPHG,TOCPHD,VITK,THIAHCL ,RIBF,NIA,VITB6A,VITB12,FOL,PANTAC,BIOT,VITC,NACL_EQ,ALC,NITRA ,THEBRN,CAFFN ,TAN,POLYPHENT,ACEAC,－,OA,－,
,,,単位,%,kcal/100 g,kJ/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 ｇ,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,mg/100 g,µg/100 g,mg/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,%,
11,11181,1657,生ハム,0,247,1033,55.0,24.0,-,16.6,16.0,6.47,6.91,1.92,78,0.5,-,(0),(0),(0),3.9,1100,470,6,27,200,0.7,2.2,0.08,0.02,-,-,-,-,5,-,-,-,(0),5,0.3,0.3,0,0.1,0,7,0.92,0.18,9.9,0.43,0.4,3,1.36,-,18,2.8,-,-,-,-,-,-,-,-,-,-,"ラックスハムを含む　 "
11,11074,1542,牛肉,0,371,1552,51.8,14.4,-,32.9,31.0,13.05,16.05,0.54,67,0.2,-,(0),(0),(0),0.7,52,230,4,14,130,1.5,3.0,0.05,0,-,-,-,-,24,-,-,-,Tr,24,0.4,1.1,0,0,0,13,0.05,0.12,3.9,0.28,1.3,5,0.50,-,1,0.1,-,-,-,-,-,-,-,-,-,-,別名： カルビ　 
11,11075,1543,牛ももかたまり肉,0,165,692,71.4,19.6,(16.5),8.6,7.5,3.22,3.69,0.25,61,0.4,-,(0),(0),(0),1.0,41,310,3,21,170,2.4,3.8,0.08,0.01,-,-,-,-,5,0,2,0,2,5,0.2,0.5,0,0,0,4,0.08,0.19,5.0,0.44,1.5,8,0.78,-,1,0.1,-,-,-,-,-,-,-,-,-,-,皮下脂肪： 3.4 %、筋間脂肪： 4.0 %　 
11,11077,1547,牛もも赤身肉,0,132,552,74.2,21.2,(17.8),4.3,3.6,1.48,1.72,0.19,62,0.4,-,(0),(0),(0),1.0,44,340,4,23,180,2.6,4.1,0.08,0.01,-,-,-,-,3,0,0,0,0,3,0.1,0.4,0,0,0,3,0.09,0.21,5.4,0.48,1.6,8,0.82,-,1,0.1,-,-,-,-,-,-,-,-,-,-,皮下脂肪及び筋間脂肪を除いたもの　 
11,11077,1547,牛もも肉･鉄板焼き用,0,132,552,74.2,21.2,(17.8),4.3,3.6,1.48,1.72,0.19,62,0.4,-,(0),(0),(0),1.0,44,340,4,23,180,2.6,4.1,0.08,0.01,-,-,-,-,3,0,0,0,0,3,0.1,0.4,0,0,0,3,0.09,0.21,5.4,0.48,1.6,8,0.82,-,1,0.1,-,-,-,-,-,-,-,-,-,-,皮下脂肪及び筋間脂肪を除いたもの　 
11,11077,1547,牛もも薄切り肉･または豚薄切り肉,0,132,552,74.2,21.2,(17.8),4.3,3.6,1.48,1.72,0.19,62,0.4,-,(0),(0),(0),1.0,44,340,4,23,180,2.6,4.1,0.08,0.01,-,-,-,-,3,0,0,0,0,3,0.1,0.4,0,0,0,3,0.09,0.21,5.4,0.48,1.6,8,0.82,-,1,0.1,-,-,-,-,-,-,-,-,-,-,皮下脂肪及び筋間脂肪を除いたもの　 
11,11074,1542,牛切り落とし肉,0,371,1552,51.8,14.4,-,32.9,31.0,13.05,16.05,0.54,67,0.2,-,(0),(0),(0),0.7,52,230,4,14,130,1.5,3.0,0.05,0,-,-,-,-,24,-,-,-,Tr,24,0.4,1.1,0,0,0,13,0.05,0.12,3.9,0.28,1.3,5,0.50,-,1,0.1,-,-,-,-,-,-,-,-,-,-,別名： カルビ　 
11,11074,1542,牛薄切り肉,0,371,1552,51.8,14.4,-,32.9,31.0,13.05,16.05,0.54,67,0.2,-,(0),(0),(0),0.7,52,230,4,14,130,1.5,3.0,0.05,0,-,-,-,-,24,-,-,-,Tr,24,0.4,1.1,0,0,0,13,0.05,0.12,3.9,0.28,1.3,5,0.50,-,1,0.1,-,-,-,-,-,-,-,-,-,-,別名： カルビ　 
11,11074,1542,豚こま切れ肉･または、牛切り落とし肉,0,371,1552,51.8,14.4,-,32.9,31.0,13.05,16.05,0.54,67,0.2,-,(0),(0),(0),0.7,52,230,4,14,130,1.5,3.0,0.05,0,-,-,-,-,24,-,-,-,Tr,24,0.4,1.1,0,0,0,13,0.05,0.12,3.9,0.28,1.3,5,0.50,-,1,0.1,-,-,-,-,-,-,-,-,-,-,別名： カルビ　 
11,11153,1631,薄切り肉豚,0,434,1816,45.8,13.4,(11.6),40.1,39.0,15.39,18.42,3.51,70,0,-,(0),(0),(0),0.7,43,220,3,14,120,0.6,1.6,0.04,0.01,-,-,-,-,9,-,-,-,Tr,9,0.1,0.4,0,0.1,0,1,0.45,0.11,4.2,0.23,0.3,2,0.62,-,1,0.1,-,-,-,-,-,-,-,-,-,-,試料： バークシャー種　 
